"departure_station","total_trips","num_departure_delays","num_arrival_delays","avg_num_departure_delays","avg_num_arrival_delays","total_depart_delay","total_arrival_delay","avg_depart_delay","avg_arrival_delay","num_trains_cancelled","percent_cancelled","delay_external","delay_infrastructure","delay_traffic","delay_stock","delay_station","delay_travelers"
"BREST",11070,212,967,4.51063829787234,20.5744680851064,1987.1823745918,830.43660666807,42.2804760551447,17.6688639716611,318,34.811320754717,0.424286912453355,0.287480509734872,0.0819717509492255,0.143747135255034,0.0333295393428191,0.0291841522646298
"CHAMBERY CHALLES LES EAUX",9782,3230,1973,68.7234042553192,41.9787234042553,1472.371072987,799.33363626126,31.3270441061064,17.0070986438566,293,33.3856655290102,0.242628952074879,0.245597046209436,0.264023112699464,0.154002087803153,0.0522244656664702,0.0415243355464149
"DIJON VILLE",20226,5397,1758,114.829787234043,37.4042553191489,1440.8461260854,644.7111291923,30.6563005550085,13.7172580679213,420,48.1571428571429,0.218779661836874,0.229574179051496,0.305842415994779,0.134570975792143,0.0603904167869213,0.050842350537666
"DOUAI",9130,740,1491,15.7446808510638,31.7234042553191,784.75444590128,652.7117641714,16.6969031042826,13.8874843440723,255,35.8039215686275,0.205477668858934,0.2693281060577,0.298256124047694,0.120124392556589,0.0863192443010808,0.0204944641779681
"DUNKERQUE",11562,272,1026,5.78723404255319,21.8297872340426,1161.3541621466,780.2509078884,24.7096630243957,16.6010831465617,289,40.0069204152249,0.294216165826689,0.286970349715292,0.222616775135523,0.113681955808215,0.0662017081417064,0.016313045372317
"FRANCFORT",5757,2006,1242,42.6808510638298,26.4255319148936,1403.5693095904,739.69063049509,29.8631767997957,15.7380985211721,108,53.3055555555556,0.172116100920737,0.153970235822349,0.508060971034398,0.0973727466443512,0.0280019372257605,0.0404780083524046
"GENEVE",10315,1818,1295,38.6808510638298,27.5531914893617,1513.6320056472,608.64166726656,32.204936290366,12.9498227077991,201,51.318407960199,0.286773807182136,0.278741643446679,0.228988550157926,0.108696381596582,0.0441765241332349,0.031767879679803
"GRENOBLE",10528,647,981,13.7659574468085,20.8723404255319,1642.3262091385,717.35015442216,34.943110832734,15.2627692430247,286,36.8111888111888,0.287801774872696,0.261014044855091,0.221185294501919,0.166623390683898,0.0413969004061723,0.0219785946800426
"ITALIE",4069,1209,881,25.7234042553191,18.7446808510638,1652.5691053656,929.41729837395,35.1610447950128,19.774836135616,85,47.8705882352941,0.193896611131902,0.212109878596609,0.326264080315772,0.173119262906611,0.0374066659438651,0.036854663895914
"LA ROCHELLE VILLE",9790,326,1006,6.93617021276596,21.4042553191489,1725.820971726,838.96416888901,36.7195951431064,17.8503014657236,253,38.695652173913,0.275088213454402,0.356900236606681,0.171676530287019,0.120932606582445,0.0547956255310021,0.0206067875383468
"LAUSANNE",5731,1203,543,25.5957446808511,11.5531914893617,1707.9859199865,597.74995141215,36.3401259571596,12.7180840725989,92,62.2934782608696,0.236958289442662,0.208156296482004,0.36305164121787,0.083329466525253,0.0413408809612744,0.0457138882291042
"LAVAL",10393,1694,1479,36.0425531914894,31.468085106383,1315.6249041834,777.538663548,27.9920192379447,16.5433758201702,221,47.027149321267,0.274229862116223,0.333218372033447,0.15314807991476,0.129848422868013,0.0707950048426617,0.0387602582248702
"LE CREUSOT MONTCEAU MONTCHANIN",10015,3385,1695,72.0212765957447,36.063829787234,835.8984631437,588.34821069211,17.7850736839085,12.5180470360023,95,105.421052631579,0.213284120713647,0.210144777336521,0.242296922301536,0.13462542524463,0.113690650402304,0.0859581040013532
"LE MANS",20540,4473,4319,95.1702127659574,91.8936170212766,991.0071809971,844.16987644881,21.0852591701511,17.9610612010385,470,43.7021276595745,0.238549254222113,0.368737375609989,0.151550507081847,0.12551866598183,0.0681308242215447,0.0475133728825894
"LILLE",48544,6404,7091,45.4184397163121,50.290780141844,4101.5083257841,1921.51915727827,29.0887115303837,13.6277954416899,1242,39.085346215781,0.256592373755074,0.188640013096718,0.217807284968144,0.194621231932313,0.0854957868204617,0.0568433094272489
"LYON PART DIEU",90392,31107,17621,126.451219512195,71.630081300813,8186.7269268265,3933.13643691497,33.2793777513272,15.9883594996543,2866,31.5394277739009,0.266310888258078,0.229115397959065,0.20562502734902,0.164232496287152,0.0807662370491834,0.0539499530974199
"MACON LOCHE",9496,4329,1738,92.1063829787234,36.9787234042553,1381.8160246369,746.36997518705,29.4003409497213,15.8802122380223,229,41.4672489082969,0.201968510880398,0.237760130228868,0.277924683969187,0.164880383097826,0.0668926042387106,0.0505736875849681
