"airport","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"10135",239,69,118.209205020921,596.44769874477,142551,9.37238493723849,6.56485355648536
"10136",201,39,53.4635416666667,158,31758,4.06185567010309,-6.00520833333333
"10140",1816,687,117.418836565097,729.916299559471,1325528,5.95966850828729,0.704709141274238
"10141",71,16,68.1428571428571,257,18247,1.51428571428571,0.671428571428571
"10146",87,20,56.8372093023256,145,12615,8.66666666666667,10.8720930232558
"10154",28,13,63.6785714285714,172,4816,22.8571428571429,25.5357142857143
"10155",148,14,47.5744680851064,89,13172,-4.13380281690141,-12.5744680851064
"10157",122,37,66.0756302521008,250,30500,12.2352941176471,9.25210084033614
"10158",248,49,134.269387755102,837.25,207638,-0.0769230769230769,-4.75510204081633
"10165",9,5,166,1192,10728,17.5555555555556,19.5555555555556
"10170",31,6,51.3571428571429,253,7843,-1.85714285714286,1.5
"10185",282,62,79.2985611510791,341.329787234043,96255,3.51079136690647,0.543165467625899
"10208",223,39,59.152466367713,143,31889,0.542600896860987,2.95964125560538
"10257",734,161,128.366621067031,688.859673024523,505623,1.63574351978172,-6.03419972640219
"10268",57,4,65.4035087719298,234,13338,-5.98245614035088,-17.3859649122807
"10279",307,78,84.3519736842105,425.241042345277,130549,4.07565789473684,1.69736842105263
"10299",1234,290,183.419591836735,1324.91085899514,1634940,1.21869918699187,-1.74367346938776
"10333",53,4,63.16,198,10494,-1.4,4.38
"10372",59,7,81.0344827586207,373.949152542373,22063,2.89655172413793,2.29310344827586
"10397",32588,9673,113.30250084592,639.1762305143,20829475,4.22981480912748,-4.22326125073057
"10408",260,66,74.2277992277992,272.430769230769,70832,3.25482625482625,4.13513513513514
"10423",4021,1306,129.984758460346,799.678935588162,3215509,7.8729381443299,1.05502454146215
"10431",284,92,83.7741935483871,336.792253521127,95649,8.475,8.59139784946237
"10434",113,39,118.785714285714,592.115044247788,66909,7.45132743362832,6.80357142857143
"10469",121,13,58.4583333333333,121.851239669421,14744,-1.25833333333333,-2.7
"10529",1714,447,141.343695014663,815.358809801634,1397525,2.12646370023419,-6.11671554252199
"10551",84,22,69.7738095238095,399,33516,0.571428571428571,4.60714285714286
